p(MPa),E(MPa),rho(mg/mm3)
9.1,1583.59,0.80899
9.2,1584.09,0.80904
9.3,1584.59,0.80909
9.4,1585.09,0.80914
9.5,1585.60,0.80919
9.6,1586.12,0.80924
9.7,1586.64,0.80930
9.8,1587.16,0.80935
9.9,1587.69,0.80940
10.0,1588.20,0.80945
10.1,1588.71,0.80950
10.2,1589.20,0.80955
10.3,1589.70,0.80960
10.4,1590.20,0.80965
10.5,1590.70,0.80970
10.6,1591.21,0.80975
10.7,1591.73,0.80981
10.8,1592.25,0.80986
10.9,1592.77,0.80991
11.0,1593.30,0.80996
11.1,1593.83,0.81001
11.2,1594.35,0.81006
11.3,1594.87,0.81011
11.4,1595.39,0.81016
11.5,1595.90,0.81021
11.6,1596.40,0.81026
11.7,1596.90,0.81031
11.8,1597.40,0.81036
11.9,1597.90,0.81041
12.0,1598.40,0.81047
12.1,1598.91,0.81052
12.2,1599.43,0.81057
12.3,1599.95,0.81062
12.4,1600.48,0.81067
12.5,1601.00,0.81072
12.6,1601.52,0.81077
12.7,1602.04,0.81082
12.8,1602.56,0.81087
12.9,1603.08,0.81092
13.0,1603.60,0.81097
13.1,1604.12,0.81102
13.2,1604.64,0.81107
13.3,1605.16,0.81112
13.4,1605.68,0.81117
13.5,1606.20,0.81122
13.6,1606.73,0.81128
13.7,1607.25,0.81133
13.8,1607.77,0.81138
13.9,1608.29,0.81143
14.0,1608.80,0.81148
14.1,1609.30,0.81153
14.2,1609.79,0.81158
14.3,1610.29,0.81163
14.4,1610.79,0.81168
14.5,1611.30,0.81173
14.6,1611.83,0.81178
14.7,1612.37,0.81183
14.8,1612.91,0.81188
14.9,1613.46,0.81193
15.0,1614.00,0.81198
15.1,1614.53,0.81203
15.2,1615.05,0.81208
15.3,1615.57,0.81213
15.4,1616.09,0.81218
15.5,1616.60,0.81223
15.6,1617.12,0.81228
15.7,1617.64,0.81233
15.8,1618.16,0.81238
15.9,1618.68,0.81243
16.0,1619.20,0.81248
16.1,1619.72,0.81253
16.2,1620.24,0.81258
16.3,1620.76,0.81263
16.4,1621.28,0.81268
16.5,1621.80,0.81273
16.6,1622.32,0.81278
16.7,1622.83,0.81283
16.8,1623.35,0.81288
16.9,1623.87,0.81293
17.0,1624.40,0.81298
17.1,1624.94,0.81303
17.2,1625.48,0.81308
17.3,1626.02,0.81313
17.4,1626.57,0.81318
17.5,1627.10,0.81323
17.6,1627.62,0.81328
17.7,1628.14,0.81333
17.8,1628.66,0.81338
17.9,1629.17,0.81343
18.0,1629.70,0.81348
18.1,1630.24,0.81353
18.2,1630.78,0.81358
18.3,1631.32,0.81363
18.4,1631.86,0.81368
18.5,1632.40,0.81373
18.6,1632.92,0.81378
18.7,1633.44,0.81383
18.8,1633.96,0.81388
18.9,1634.48,0.81393
19.0,1635.00,0.81398
19.1,1635.53,0.81403
19.2,1636.08,0.81408
19.3,1636.62,0.81413
19.4,1637.16,0.81418
19.5,1637.70,0.81423
19.6,1638.23,0.81428
19.7,1638.74,0.81433
19.8,1639.26,0.81438
19.9,1639.78,0.81443
20.0,1640.30,0.81448
20.1,1640.83,0.81453
20.2,1641.37,0.81458
20.3,1641.91,0.81463
20.4,1642.46,0.81468
20.5,1643.00,0.81473
20.6,1643.54,0.81478
20.7,1644.08,0.81483
20.8,1644.62,0.81488
20.9,1645.16,0.81493
21.0,1645.70,0.81498
21.1,1646.24,0.81503
21.2,1646.78,0.81507
21.3,1647.32,0.81512
21.4,1647.86,0.81517
21.5,1648.40,0.81522
21.6,1648.94,0.81527
21.7,1649.48,0.81532
21.8,1650.02,0.81537
21.9,1650.56,0.81542
22.0,1651.10,0.81547
22.1,1651.64,0.81552
22.2,1652.18,0.81557
22.3,1652.72,0.81562
22.4,1653.26,0.81567
22.5,1653.80,0.81572
22.6,1654.34,0.81577
22.7,1654.88,0.81582
22.8,1655.42,0.81587
22.9,1655.96,0.81591
23.0,1656.50,0.81596
23.1,1657.04,0.81601
23.2,1657.58,0.81606
23.3,1658.12,0.81611
23.4,1658.66,0.81616
23.5,1659.20,0.81621
23.6,1659.74,0.81626
23.7,1660.28,0.81631
23.8,1660.82,0.81636
23.9,1661.36,0.81641
24.0,1661.90,0.81646
24.1,1662.44,0.81650
24.2,1662.97,0.81655
24.3,1663.51,0.81660
24.4,1664.05,0.81665
24.5,1664.60,0.81670
24.6,1665.16,0.81675
24.7,1665.72,0.81680
24.8,1666.28,0.81685
24.9,1666.84,0.81690
25.0,1667.40,0.81695
25.1,1667.95,0.81700
25.2,1668.49,0.81704
25.3,1669.03,0.81709
25.4,1669.57,0.81714
25.5,1670.10,0.81719
25.6,1670.63,0.81724
25.7,1671.17,0.81729
25.8,1671.71,0.81734
25.9,1672.25,0.81739
26.0,1672.80,0.81744
26.1,1673.36,0.81748
26.2,1673.92,0.81753
26.3,1674.48,0.81758
26.4,1675.05,0.81763
26.5,1675.60,0.81768
26.6,1676.15,0.81773
26.7,1676.68,0.81778
26.8,1677.22,0.81783
26.9,1677.76,0.81787
27.0,1678.30,0.81792
27.1,1678.85,0.81797
27.2,1679.41,0.81802
27.3,1679.97,0.81807
27.4,1680.54,0.81812
27.5,1681.10,0.81817
27.6,1681.66,0.81822
27.7,1682.22,0.81826
27.8,1682.78,0.81831
27.9,1683.34,0.81836
28.0,1683.90,0.81841
28.1,1684.46,0.81846
28.2,1685.02,0.81851
28.3,1685.58,0.81856
28.4,1686.14,0.81860
28.5,1686.70,0.81865
28.6,1687.26,0.81870
28.7,1687.83,0.81875
28.8,1688.39,0.81880
28.9,1688.95,0.81885
29.0,1689.50,0.81890
29.1,1690.04,0.81894
29.2,1690.58,0.81899
29.3,1691.12,0.81904
29.4,1691.66,0.81909
29.5,1692.20,0.81914
29.6,1692.75,0.81919
29.7,1693.31,0.81923
29.8,1693.87,0.81928
29.9,1694.44,0.81933
30.0,1695.00,0.81938
30.1,1695.56,0.81943
30.2,1696.11,0.81948
30.3,1696.67,0.81952
30.4,1697.23,0.81957
30.5,1697.80,0.81962
30.6,1698.38,0.81967
30.7,1698.96,0.81972
30.8,1699.54,0.81977
30.9,1700.12,0.81981
31.0,1700.70,0.81986
31.1,1701.27,0.81991
31.2,1701.83,0.81996
31.3,1702.39,0.82001
31.4,1702.94,0.82006
31.5,1703.50,0.82010
31.6,1704.06,0.82015
31.7,1704.62,0.82020
31.8,1705.18,0.82025
31.9,1705.74,0.82030
32.0,1706.30,0.82034
32.1,1706.86,0.82039
32.2,1707.41,0.82044
32.3,1707.97,0.82049
32.4,1708.53,0.82054
32.5,1709.10,0.82058
32.6,1709.68,0.82063
32.7,1710.26,0.82068
32.8,1710.84,0.82073
32.9,1711.43,0.82078
33.0,1712.00,0.82082
33.1,1712.57,0.82087
33.2,1713.12,0.82092
33.3,1713.68,0.82097
33.4,1714.24,0.82102
33.5,1714.80,0.82106
33.6,1715.37,0.82111
33.7,1715.95,0.82116
33.8,1716.53,0.82121
33.9,1717.11,0.82125
34.0,1717.70,0.82130
34.1,1718.29,0.82135
34.2,1718.87,0.82140
34.3,1719.45,0.82145
34.4,1720.03,0.82149
34.5,1720.60,0.82154
34.6,1721.16,0.82159
34.7,1721.72,0.82164
34.8,1722.28,0.82168
34.9,1722.84,0.82173
35.0,1723.40,0.82178
35.1,1723.97,0.82183
35.2,1724.55,0.82188
35.3,1725.13,0.82192
35.4,1725.72,0.82197
35.5,1726.30,0.82202
35.6,1726.88,0.82207
35.7,1727.46,0.82211
35.8,1728.04,0.82216
35.9,1728.62,0.82221
36.0,1729.20,0.82226
36.1,1729.78,0.82230
36.2,1730.36,0.82235
36.3,1730.94,0.82240
36.4,1731.52,0.82245
36.5,1732.10,0.82249
36.6,1732.68,0.82254
36.7,1733.26,0.82259
36.8,1733.84,0.82264
36.9,1734.42,0.82268
37.0,1735.00,0.82273
37.1,1735.58,0.82278
37.2,1736.16,0.82283
37.3,1736.74,0.82287
37.4,1737.32,0.82292
37.5,1737.90,0.82297
37.6,1738.48,0.82302
37.7,1739.06,0.82306
37.8,1739.64,0.82311
37.9,1740.22,0.82316
38.0,1740.80,0.82320
38.1,1741.38,0.82325
38.2,1741.95,0.82330
38.3,1742.53,0.82335
38.4,1743.11,0.82339
38.5,1743.70,0.82344
38.6,1744.30,0.82349
38.7,1744.90,0.82354
38.8,1745.50,0.82358
38.9,1746.10,0.82363
39.0,1746.70,0.82368
39.1,1747.29,0.82372
39.2,1747.87,0.82377
39.3,1748.45,0.82382
39.4,1749.03,0.82387
39.5,1749.60,0.82391
39.6,1750.17,0.82396
39.7,1750.75,0.82401
39.8,1751.33,0.82405
39.9,1751.91,0.82410
40.0,1752.50,0.82415
40.1,1753.10,0.82420
40.2,1753.70,0.82424
40.3,1754.30,0.82429
40.4,1754.91,0.82434
40.5,1755.50,0.82438
40.6,1756.09,0.82443
40.7,1756.66,0.82448
40.8,1757.24,0.82452
40.9,1757.82,0.82457
41.0,1758.40,0.82462
41.1,1758.99,0.82466
41.2,1759.59,0.82471
41.3,1760.19,0.82476
41.4,1760.80,0.82481
41.5,1761.40,0.82485
41.6,1762.00,0.82490
41.7,1762.60,0.82495
41.8,1763.20,0.82499
41.9,1763.80,0.82504
42.0,1764.40,0.82509
42.1,1765.00,0.82513
42.2,1765.60,0.82518
42.3,1766.20,0.82523
42.4,1766.80,0.82527
42.5,1767.40,0.82532
42.6,1768.00,0.82537
42.7,1768.60,0.82541
42.8,1769.20,0.82546
42.9,1769.80,0.82551
43.0,1770.40,0.82555
43.1,1771.00,0.82560
43.2,1771.60,0.82565
43.3,1772.20,0.82569
43.4,1772.80,0.82574
43.5,1773.40,0.82579
43.6,1774.00,0.82583
43.7,1774.60,0.82588
43.8,1775.20,0.82593
43.9,1775.80,0.82597
44.0,1776.40,0.82602
44.1,1777.00,0.82607
44.2,1777.60,0.82611
44.3,1778.20,0.82616
44.4,1778.80,0.82620
44.5,1779.40,0.82625
44.6,1780.00,0.82630
44.7,1780.60,0.82634
44.8,1781.20,0.82639
44.9,1781.80,0.82644
45.0,1782.40,0.82648
45.1,1783.00,0.82653
45.2,1783.59,0.82658
45.3,1784.19,0.82662
45.4,1784.79,0.82667
45.5,1785.40,0.82671
45.6,1786.02,0.82676
45.7,1786.64,0.82681
45.8,1787.26,0.82685
45.9,1787.89,0.82690
46.0,1788.50,0.82695
46.1,1789.10,0.82699
46.2,1789.70,0.82704
46.3,1790.30,0.82708
46.4,1790.90,0.82713
46.5,1791.50,0.82718
46.6,1792.11,0.82722
46.7,1792.74,0.82727
46.8,1793.36,0.82732
46.9,1793.98,0.82736
47.0,1794.60,0.82741
47.1,1795.21,0.82745
47.2,1795.81,0.82750
47.3,1796.40,0.82755
47.4,1797.00,0.82759
47.5,1797.60,0.82764
47.6,1798.21,0.82768
47.7,1798.83,0.82773
47.8,1799.45,0.82778
47.9,1800.07,0.82782
48.0,1800.70,0.82787
48.1,1801.33,0.82791
48.2,1801.95,0.82796
48.3,1802.57,0.82801
48.4,1803.19,0.82805
48.5,1803.80,0.82810
48.6,1804.40,0.82814
48.7,1805.00,0.82819
48.8,1805.60,0.82824
48.9,1806.20,0.82828
49.0,1806.80,0.82833
49.1,1807.41,0.82837
49.2,1808.03,0.82842
49.3,1808.65,0.82846
49.4,1809.28,0.82851
49.5,1809.90,0.82856
49.6,1810.52,0.82860
49.7,1811.15,0.82865
49.8,1811.77,0.82869
49.9,1812.38,0.82874
50.0,1813.00,0.82879
50.1,1813.62,0.82883
50.2,1814.23,0.82888
50.3,1814.85,0.82892
50.4,1815.47,0.82897
50.5,1816.10,0.82901
50.6,1816.74,0.82906
50.7,1817.38,0.82910
50.8,1818.02,0.82915
50.9,1818.66,0.82920
51.0,1819.30,0.82924
51.1,1819.93,0.82929
51.2,1820.55,0.82933
51.3,1821.17,0.82938
51.4,1821.79,0.82942
51.5,1822.40,0.82947
51.6,1823.01,0.82951
51.7,1823.63,0.82956
51.8,1824.25,0.82961
51.9,1824.87,0.82965
52.0,1825.50,0.82970
52.1,1826.14,0.82974
52.2,1826.78,0.82979
52.3,1827.43,0.82983
52.4,1828.07,0.82988
52.5,1828.70,0.82992
52.6,1829.32,0.82997
52.7,1829.94,0.83001
52.8,1830.56,0.83006
52.9,1831.17,0.83011
53.0,1831.80,0.83015
53.1,1832.44,0.83020
53.2,1833.08,0.83024
53.3,1833.72,0.83029
53.4,1834.36,0.83033
53.5,1835.00,0.83038
53.6,1835.63,0.83042
53.7,1836.24,0.83047
53.8,1836.86,0.83051
53.9,1837.48,0.83056
54.0,1838.10,0.83060
54.1,1838.73,0.83065
54.2,1839.37,0.83069
54.3,1840.01,0.83074
54.4,1840.66,0.83078
54.5,1841.30,0.83083
54.6,1841.94,0.83087
54.7,1842.58,0.83092
54.8,1843.22,0.83096
54.9,1843.86,0.83101
55.0,1844.50,0.83105
55.1,1845.14,0.83110
55.2,1845.78,0.83114
55.3,1846.42,0.83119
55.4,1847.06,0.83123
55.5,1847.70,0.83128
55.6,1848.34,0.83132
55.7,1848.98,0.83137
55.8,1849.62,0.83141
55.9,1850.26,0.83146
56.0,1850.90,0.83150
56.1,1851.54,0.83155
56.2,1852.18,0.83159
56.3,1852.82,0.83164
56.4,1853.46,0.83168
56.5,1854.10,0.83173
56.6,1854.74,0.83177
56.7,1855.37,0.83182
56.8,1856.01,0.83186
56.9,1856.65,0.83191
57.0,1857.30,0.83195
57.1,1857.96,0.83200
57.2,1858.62,0.83204
57.3,1859.28,0.83209
57.4,1859.94,0.83213
57.5,1860.60,0.83218
57.6,1861.25,0.83222
57.7,1861.89,0.83227
57.8,1862.53,0.83231
57.9,1863.17,0.83236
58.0,1863.80,0.83240
58.1,1864.43,0.83244
58.2,1865.07,0.83249
58.3,1865.71,0.83253
58.4,1866.35,0.83258
58.5,1867.00,0.83262
58.6,1867.65,0.83267
58.7,1868.31,0.83271
58.8,1868.97,0.83276
58.9,1869.63,0.83280
59.0,1870.30,0.83285
59.1,1870.97,0.83289
59.2,1871.63,0.83294
59.3,1872.29,0.83298
59.4,1872.95,0.83302
59.5,1873.60,0.83307
59.6,1874.24,0.83311
59.7,1874.88,0.83316
59.8,1875.52,0.83320
59.9,1876.16,0.83325
60.0,1876.80,0.83329
60.1,1877.45,0.83334
60.2,1878.11,0.83338
60.3,1878.77,0.83342
60.4,1879.44,0.83347
60.5,1880.10,0.83351
60.6,1880.76,0.83356
60.7,1881.42,0.83360
60.8,1882.08,0.83365
60.9,1882.74,0.83369
61.0,1883.40,0.83373
61.1,1884.06,0.83378
61.2,1884.72,0.83382
61.3,1885.38,0.83387
61.4,1886.04,0.83391
61.5,1886.70,0.83396
61.6,1887.36,0.83400
61.7,1888.02,0.83404
61.8,1888.68,0.83409
61.9,1889.34,0.83413
62.0,1890.00,0.83418
62.1,1890.66,0.83422
62.2,1891.32,0.83426
62.3,1891.98,0.83431
62.4,1892.64,0.83435
62.5,1893.30,0.83440
62.6,1893.96,0.83444
62.7,1894.61,0.83448
62.8,1895.27,0.83453
62.9,1895.93,0.83457
63.0,1896.60,0.83462
63.1,1897.28,0.83466
63.2,1897.96,0.83470
63.3,1898.64,0.83475
63.4,1899.33,0.83479
63.5,1900.00,0.83484
63.6,1900.66,0.83488
63.7,1901.32,0.83492
63.8,1901.98,0.83497
63.9,1902.64,0.83501
64.0,1903.30,0.83506
64.1,1903.98,0.83510
64.2,1904.66,0.83514
64.3,1905.34,0.83519
64.4,1906.02,0.83523
64.5,1906.70,0.83528
64.6,1907.37,0.83532
64.7,1908.02,0.83536
64.8,1908.68,0.83541
64.9,1909.34,0.83545
65.0,1910.00,0.83549
65.1,1910.67,0.83554
65.2,1911.35,0.83558
65.3,1912.03,0.83563
65.4,1912.72,0.83567
65.5,1913.40,0.83571
65.6,1914.08,0.83576
65.7,1914.76,0.83580
65.8,1915.44,0.83584
65.9,1916.12,0.83589
66.0,1916.80,0.83593
66.1,1917.48,0.83597
66.2,1918.16,0.83602
66.3,1918.84,0.83606
66.4,1919.52,0.83611
66.5,1920.20,0.83615
66.6,1920.88,0.83619
66.7,1921.56,0.83624
66.8,1922.24,0.83628
66.9,1922.92,0.83632
67.0,1923.60,0.83637
67.1,1924.28,0.83641
67.2,1924.96,0.83645
67.3,1925.64,0.83650
67.4,1926.32,0.83654
67.5,1927.00,0.83658
67.6,1927.68,0.83663
67.7,1928.36,0.83667
67.8,1929.04,0.83671
67.9,1929.72,0.83676
68.0,1930.40,0.83680
68.1,1931.08,0.83684
68.2,1931.75,0.83689
68.3,1932.43,0.83693
68.4,1933.11,0.83697
68.5,1933.80,0.83702
68.6,1934.50,0.83706
68.7,1935.20,0.83710
68.8,1935.90,0.83715
68.9,1936.61,0.83719
69.0,1937.30,0.83723
69.1,1937.99,0.83728
69.2,1938.66,0.83732
69.3,1939.34,0.83736
69.4,1940.02,0.83741
69.5,1940.70,0.83745
69.6,1941.39,0.83749
69.7,1942.09,0.83754
69.8,1942.79,0.83758
69.9,1943.49,0.83762
70.0,1944.20,0.83767
70.1,1944.91,0.83771
70.2,1945.61,0.83775
70.3,1946.31,0.83779
70.4,1947.01,0.83784
70.5,1947.70,0.83788
70.6,1948.38,0.83792
70.7,1949.06,0.83797
70.8,1949.74,0.83801
70.9,1950.42,0.83805
71.0,1951.10,0.83810
71.1,1951.79,0.83814
71.2,1952.49,0.83818
71.3,1953.19,0.83822
71.4,1953.90,0.83827
71.5,1954.60,0.83831
71.6,1955.30,0.83835
71.7,1956.01,0.83840
71.8,1956.71,0.83844
71.9,1957.40,0.83848
72.0,1958.10,0.83852
72.1,1958.80,0.83857
72.2,1959.49,0.83861
72.3,1960.19,0.83865
72.4,1960.89,0.83870
72.5,1961.60,0.83874
72.6,1962.32,0.83878
72.7,1963.04,0.83882
72.8,1963.76,0.83887
72.9,1964.48,0.83891
73.0,1965.20,0.83895
73.1,1965.91,0.83899
73.2,1966.61,0.83904
73.3,1967.31,0.83908
73.4,1968.01,0.83912
73.5,1968.70,0.83917
73.6,1969.39,0.83921
73.7,1970.09,0.83925
73.8,1970.79,0.83929
73.9,1971.49,0.83934
74.0,1972.20,0.83938
74.1,1972.92,0.83942
74.2,1973.64,0.83946
74.3,1974.36,0.83951
74.4,1975.09,0.83955
74.5,1975.80,0.83959
74.6,1976.51,0.83963
74.7,1977.20,0.83968
74.8,1977.90,0.83972
74.9,1978.60,0.83976
75.0,1979.30,0.83980
75.1,1980.01,0.83985
75.2,1980.73,0.83989
75.3,1981.45,0.83993
75.4,1982.18,0.83997
75.5,1982.90,0.84002
75.6,1983.62,0.84006
75.7,1984.34,0.84010
75.8,1985.06,0.84014
75.9,1985.78,0.84018
76.0,1986.50,0.84023
76.1,1987.22,0.84027
76.2,1987.94,0.84031
76.3,1988.66,0.84035
76.4,1989.38,0.84040
76.5,1990.10,0.84044
76.6,1990.82,0.84048
76.7,1991.54,0.84052
76.8,1992.26,0.84056
76.9,1992.98,0.84061
77.0,1993.70,0.84065
77.1,1994.42,0.84069
77.2,1995.14,0.84073
77.3,1995.86,0.84078
77.4,1996.58,0.84082
77.5,1997.30,0.84086
77.6,1998.02,0.84090
77.7,1998.74,0.84094
77.8,1999.46,0.84099
77.9,2000.18,0.84103
78.0,2000.90,0.84107
78.1,2001.62,0.84111
78.2,2002.33,0.84115
78.3,2003.05,0.84120
78.4,2003.77,0.84124
78.5,2004.50,0.84128
78.6,2005.24,0.84132
78.7,2005.98,0.84136
78.8,2006.72,0.84141
78.9,2007.47,0.84145
79.0,2008.20,0.84149
79.1,2008.93,0.84153
79.2,2009.64,0.84157
79.3,2010.36,0.84162
79.4,2011.08,0.84166
79.5,2011.80,0.84170
79.6,2012.53,0.84174
79.7,2013.27,0.84178
79.8,2014.01,0.84182
79.9,2014.76,0.84187
80.0,2015.50,0.84191
80.1,2016.24,0.84195
80.2,2016.98,0.84199
80.3,2017.72,0.84203
80.4,2018.46,0.84208
80.5,2019.20,0.84212
80.6,2019.94,0.84216
80.7,2020.69,0.84220
80.8,2021.43,0.84224
80.9,2022.17,0.84228
81.0,2022.90,0.84233
81.1,2023.62,0.84237
81.2,2024.33,0.84241
81.3,2025.05,0.84245
81.4,2025.77,0.84249
81.5,2026.50,0.84253
81.6,2027.25,0.84257
81.7,2028.01,0.84262
81.8,2028.77,0.84266
81.9,2029.54,0.84270
82.0,2030.30,0.84274
82.1,2031.05,0.84278
82.2,2031.79,0.84282
82.3,2032.53,0.84287
82.4,2033.26,0.84291
82.5,2034.00,0.84295
82.6,2034.74,0.84299
82.7,2035.48,0.84303
82.8,2036.22,0.84307
82.9,2036.96,0.84311
83.0,2037.70,0.84316
83.1,2038.44,0.84320
83.2,2039.17,0.84324
83.3,2039.91,0.84328
83.4,2040.65,0.84332
83.5,2041.40,0.84336
83.6,2042.15,0.84340
83.7,2042.91,0.84344
83.8,2043.67,0.84349
83.9,2044.43,0.84353
84.0,2045.20,0.84357
84.1,2045.97,0.84361
84.2,2046.73,0.84365
84.3,2047.49,0.84369
84.4,2048.25,0.84373
84.5,2049.00,0.84377
84.6,2049.74,0.84382
84.7,2050.48,0.84386
84.8,2051.22,0.84390
84.9,2051.96,0.84394
85.0,2052.70,0.84398
85.1,2053.45,0.84402
85.2,2054.21,0.84406
85.3,2054.97,0.84410
85.4,2055.74,0.84414
85.5,2056.50,0.84419
85.6,2057.26,0.84423
85.7,2058.02,0.84427
85.8,2058.78,0.84431
85.9,2059.54,0.84435
86.0,2060.30,0.84439
86.1,2061.06,0.84443
86.2,2061.82,0.84447
86.3,2062.58,0.84451
86.4,2063.34,0.84455
86.5,2064.10,0.84460
86.6,2064.86,0.84464
86.7,2065.61,0.84468
86.8,2066.37,0.84472
86.9,2067.13,0.84476
87.0,2067.90,0.84480
87.1,2068.68,0.84484
87.2,2069.46,0.84488
87.3,2070.24,0.84492
87.4,2071.03,0.84496
87.5,2071.80,0.84500
87.6,2072.56,0.84504
87.7,2073.32,0.84509
87.8,2074.08,0.84513
87.9,2074.84,0.84517
88.0,2075.60,0.84521
88.1,2076.38,0.84525
88.2,2077.16,0.84529
88.3,2077.94,0.84533
88.4,2078.72,0.84537
88.5,2079.50,0.84541
88.6,2080.27,0.84545
88.7,2081.02,0.84549
88.8,2081.78,0.84553
88.9,2082.54,0.84557
89.0,2083.30,0.84561
89.1,2084.07,0.84566
89.2,2084.85,0.84570
89.3,2085.63,0.84574
89.4,2086.42,0.84578
89.5,2087.20,0.84582
89.6,2087.98,0.84586
89.7,2088.76,0.84590
89.8,2089.54,0.84594
89.9,2090.32,0.84598
90.0,2091.10,0.84602
90.1,2091.88,0.84606
90.2,2092.66,0.84610
90.3,2093.44,0.84614
90.4,2094.22,0.84618
90.5,2095.00,0.84622
90.6,2095.78,0.84626
90.7,2096.56,0.84630
90.8,2097.34,0.84634
90.9,2098.12,0.84638
91.0,2098.90,0.84642
91.1,2099.68,0.84646
91.2,2100.45,0.84650
91.3,2101.23,0.84654
91.4,2102.01,0.84658
91.5,2102.80,0.84663
91.6,2103.60,0.84667
91.7,2104.40,0.84671
91.8,2105.20,0.84675
91.9,2106.01,0.84679
92.0,2106.80,0.84683
92.1,2107.58,0.84687
92.2,2108.36,0.84691
92.3,2109.14,0.84695
92.4,2109.92,0.84699
92.5,2110.70,0.84703
92.6,2111.50,0.84707
92.7,2112.30,0.84711
92.8,2113.10,0.84715
92.9,2113.90,0.84719
93.0,2114.70,0.84723
93.1,2115.49,0.84727
93.2,2116.26,0.84731
93.3,2117.04,0.84735
93.4,2117.82,0.84739
93.5,2118.60,0.84743
93.6,2119.39,0.84747
93.7,2120.19,0.84751
93.8,2120.99,0.84755
93.9,2121.79,0.84759
94.0,2122.60,0.84763
94.1,2123.40,0.84767
94.2,2124.21,0.84771
94.3,2125.01,0.84775
94.4,2125.80,0.84779
94.5,2126.60,0.84783
94.6,2127.40,0.84787
94.7,2128.19,0.84791
94.8,2128.99,0.84795
94.9,2129.79,0.84799
95.0,2130.60,0.84803
95.1,2131.42,0.84807
95.2,2132.24,0.84811
95.3,2133.06,0.84815
95.4,2133.88,0.84819
95.5,2134.70,0.84823
95.6,2135.51,0.84826
95.7,2136.31,0.84830
95.8,2137.11,0.84834
95.9,2137.91,0.84838
96.0,2138.70,0.84842
96.1,2139.49,0.84846
96.2,2140.29,0.84850
96.3,2141.09,0.84854
96.4,2141.89,0.84858
96.5,2142.70,0.84862
96.6,2143.51,0.84866
96.7,2144.33,0.84870
96.8,2145.15,0.84874
96.9,2145.98,0.84878
97.0,2146.80,0.84882
97.1,2147.62,0.84886
97.2,2148.44,0.84890
97.3,2149.26,0.84894
97.4,2150.08,0.84898
97.5,2150.90,0.84902
97.6,2151.72,0.84906
97.7,2152.54,0.84910
97.8,2153.36,0.84914
97.9,2154.18,0.84918
98.0,2155.00,0.84921
98.1,2155.82,0.84925
98.2,2156.64,0.84929
98.3,2157.46,0.84933
98.4,2158.28,0.84937
98.5,2159.10,0.84941
98.6,2159.92,0.84945
98.7,2160.74,0.84949
98.8,2161.56,0.84953
98.9,2162.38,0.84957
99.0,2163.20,0.84961
99.1,2164.02,0.84965
99.2,2164.84,0.84969
99.3,2165.66,0.84973
99.4,2166.48,0.84976
99.5,2167.30,0.84980
